date,store_id,sku_id,qty_sold,transaction_price,revenue,product_name,category,qty_lag_1d,qty_lag_7d,qty_lag_14d,qty_rolling_mean_7d,qty_rolling_std_7d,qty_rolling_mean_14d,qty_rolling_std_14d,qty_rolling_mean_30d,qty_rolling_std_30d,day_of_week,day_of_month,month,quarter,week_of_year,day_of_year,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_weekend,store_id_encoded,sku_id_encoded,category_Apparel,category_Electronics,category_Home
2022-01-01,1,2205,36.0,81.98,2951.28,Coffee Maker,Home,51.0,43.0,52.0,36.0,0.0,36.0,0.0,36.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,0,0,False,False,True
2022-01-01,2,2205,43.0,77.84,3347.1200000000003,Coffee Maker,Home,51.0,43.0,52.0,43.0,0.0,43.0,0.0,43.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,0,False,False,True
2022-01-01,2,5502,66.0,60.07,3964.62,Bluetooth Speaker,Electronics,51.0,43.0,52.0,66.0,0.0,66.0,0.0,66.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,1,False,True,False
2022-01-01,2,8801,51.0,101.6,5181.599999999999,Running Shoes,Apparel,51.0,43.0,52.0,51.0,0.0,51.0,0.0,51.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,2,True,False,False
2022-01-01,1,8801,42.0,88.22,3705.24,Running Shoes,Apparel,51.0,43.0,52.0,42.0,0.0,42.0,0.0,42.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,0,2,True,False,False
2022-01-01,1,5502,0.0,0.0,0.0,Bluetooth Speaker,Electronics,51.0,43.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,0,1,False,True,False
2022-01-01,3,5502,38.0,61.48,2336.24,Bluetooth Speaker,Electronics,51.0,43.0,52.0,38.0,0.0,38.0,0.0,38.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,2,1,False,True,False
2022-01-01,3,8801,43.0,95.4,4102.2,Running Shoes,Apparel,51.0,43.0,52.0,43.0,0.0,43.0,0.0,43.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,2,2,True,False,False
2022-01-01,3,8802,24.0,19.15,459.6,Cotton T-Shirt,Apparel,51.0,43.0,52.0,24.0,0.0,24.0,0.0,24.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,2,3,True,False,False
2022-01-01,3,2205,0.0,0.0,0.0,Coffee Maker,Home,51.0,43.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,1,52,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,2,0,False,False,True
