date,store_id,sku_id,qty_sold,transaction_price,revenue,margin,cost_price,sell_price,product_name,category,margin_pct
2022-01-01,1,8801,42,88.22,3705.24,2025.24,40,95,Running Shoes,Apparel,120.55
2022-01-01,1,8802,48,21.24,1019.52,635.52,8,20,Cotton T-Shirt,Apparel,165.5
2022-01-01,1,2205,36,81.98,2951.28,1331.2800000000002,45,85,Coffee Maker,Home,82.18
2022-01-01,2,5502,66,60.07,3964.62,2314.62,25,60,Bluetooth Speaker,Electronics,140.28
2022-01-01,2,8801,51,101.6,5181.599999999999,3141.6,40,95,Running Shoes,Apparel,154.0
2022-01-01,2,8802,52,21.69,1127.88,711.8800000000001,8,20,Cotton T-Shirt,Apparel,171.13
2022-01-01,2,2205,43,77.84,3347.1200000000003,1412.1200000000001,45,85,Coffee Maker,Home,72.98
2022-01-01,3,5502,38,61.48,2336.24,1386.2399999999998,25,60,Bluetooth Speaker,Electronics,145.92
2022-01-01,3,8801,43,95.4,4102.2,2382.2000000000003,40,95,Running Shoes,Apparel,138.5
2022-01-01,3,8802,24,19.15,459.59999999999997,267.59999999999997,8,20,Cotton T-Shirt,Apparel,139.37
2022-01-02,3,2205,45,87.8,3951.0,1925.9999999999998,45,85,Coffee Maker,Home,95.11
2022-01-02,3,8802,41,18.71,767.11,439.11,8,20,Cotton T-Shirt,Apparel,133.88
2022-01-02,3,8801,60,91.96,5517.599999999999,3117.5999999999995,40,95,Running Shoes,Apparel,129.9
2022-01-02,3,5502,30,57.28,1718.4,968.4000000000001,25,60,Bluetooth Speaker,Electronics,129.12
2022-01-02,2,2205,53,81.15,4300.950000000001,1915.9500000000003,45,85,Coffee Maker,Home,80.33
2022-01-02,2,8802,43,19.43,835.49,491.49,8,20,Cotton T-Shirt,Apparel,142.88
2022-01-02,1,2205,68,84.94,5775.92,2715.92,45,85,Coffee Maker,Home,88.76
2022-01-02,2,5502,46,58.46,2689.16,1539.16,25,60,Bluetooth Speaker,Electronics,133.84
2022-01-02,1,8802,54,21.01,1134.5400000000002,702.5400000000001,8,20,Cotton T-Shirt,Apparel,162.63
2022-01-02,1,8801,44,99.38,4372.719999999999,2612.72,40,95,Running Shoes,Apparel,148.45
2022-01-02,1,5502,52,54.22,2819.44,1519.44,25,60,Bluetooth Speaker,Electronics,116.88
